Month,Day,Lunar Month,Lunar Day,Pressure,Maximum temperature,Mean temperature,Minimum temperature,Dew Point Temperature,Relative Humidity,Amount of Cloud,Rainfall,Reduced visibility,Sunshine,Radiation,Evaporation,Wind Direction,Wind Speed
9,9,8,9,1008.4,29.4,27,25.5,24.8,88,87,16.3,0,1.1,8.04,1.5,230,11.3
9,10,8,10,1007.8,27.7,26.3,24.5,25.1,93,87,53.2,0,0.1,3.89,N.A.,50,11
9,11,8,11,1008.4,31.6,28.1,25.9,25.6,87,72,6.6,0,6.4,17.95,5.4,30,7.1
9,12,8,12,1010.2,32.7,28.7,26,25.3,83,49,-,0,10.5,24.14,4.4,30,15.2
9,13,8,13,1010.2,30.9,28.2,26,25.2,84,61,8.5,0,5,16.5,3.2,80,18.7
9,14,8,14,1004.5,32.6,29.6,26.9,23,69,59,-,1,9.7,21.04,6.9,340,17.3
9,15,8,15,1002.9,31.9,29.4,28,22.8,68,63,0.7,0,4.5,13.34,3.5,280,15
9,16,8,16,1004.9,31.3,29,27.3,22.9,70,44,-,0,7.3,17.21,4.3,10,15.3
9,17,8,17,1005.7,31.6,29.3,27.3,22.2,66,50,-,0,7.3,17.04,7.3,10,19.4
9,18,8,18,1006.9,31.5,28.6,26.3,21.7,66,47,Trace,0,5.9,14.05,3.8,10,12.7
9,19,8,19,1008,32.6,28.6,25.5,23.1,73,51,3.8,0,7.5,16.66,3.8,10,21.6
9,20,8,20,1012.1,29.5,25.5,22.8,23.2,87,85,39.6,3,3.6,12.32,2.7,350,32
9,21,8,21,1014.4,30.6,27.1,24.7,22.6,77,52,2.4,0,10.4,22.81,5.5,70,35.7
9,22,8,22,1013.6,28.9,27.2,26.1,22.7,76,87,-,0,3.8,13.16,4.4,70,34.9
9,23,8,23,1012,29.9,27.7,26.5,23.5,78,88,Trace,0,7.3,18.11,4.1,80,30.6
9,24,8,24,1010.5,30.5,27.9,26.6,23.8,78,66,Trace,0,7.9,19.97,3,80,27.6
9,25,8,25,1009.8,30.5,28.1,26.9,24.3,80,52,-,0,7.1,16.37,5.9,80,20.1
9,26,8,26,1007.7,31.1,28.5,27,24.8,81,69,Trace,10,7.3,16.77,3.7,230,15
9,27,8,27,1002.6,34.9,31.1,27.7,24.1,68,36,-,9,10.2,19.59,6.8,290,11.3
9,28,8,28,999.5,32.2,30.4,28.9,21.3,58,79,-,6,0.3,8.6,4.3,300,25.5
9,29,8,29,1003.9,28.9,26.5,24.9,20.5,70,88,0.7,0,1.1,7.4,2.9,10,18.2
9,30,8,30,1007.7,26.4,25.1,24.1,21,78,86,-,12,2.5,10.65,N.A.,10,7.5
10,1,9,1,1009.9,29.4,26.6,24,24.6,89,75,95.5,12,5.8,16.05,0.6,90,16.2
10,2,9,2,1009,29.8,27.6,26.2,24.3,82,76,Trace,9,3,11.57,4.2,60,17.8
10,3,9,3,1007.8,28.3,27.5,26.6,24.1,82,84,0.2,0,1.2,8.37,2,50,28.5
10,4,9,4,1008.1,29.5,27.5,26.5,24.4,83,60,-,0,4.9,9.68,1.9,50,17.5
10,5,9,5,1008.9,31.9,28.6,26.9,24.3,78,68,Trace,0,5.7,16.61,4.4,70,18.7
10,6,9,6,1009.1,32.4,28.5,25.9,23.5,75,57,16.7,0,8.9,18.76,6.8,10,19.3
10,7,9,7,1007.1,29.3,27.7,25.5,23.5,79,86,17.3,0,3.8,11.82,3.1,10,23.6
10,8,9,8,1006.8,29.9,28.1,27,22.4,71,88,Trace,0,2.1,10.54,3.7,360,35.2
10,9,9,9,1008.9,28.8,26.5,24.9,20.4,69,86,-,0,4.7,15.92,6.1,10,33
10,10,9,10,1010.2,28.1,25.3,23.5,19.4,70,74,-,0,6.8,16.51,3.5,20,28
10,11,9,11,1010.7,26.8,24.5,22,20.6,79,88,0.1,0,0.7,9.51,3.2,10,29.8
10,12,9,12,1012.5,25.8,24.6,23,21.6,84,88,0.9,0,0.1,4.7,1.3,60,39.7
10,13,9,13,1013.5,29.3,26,24.2,21.6,77,72,Trace,0,6.5,17.41,4.7,80,39.5
10,14,9,14,1013.2,29.9,26.7,25,21.9,76,70,Trace,0,9,19.58,3.9,80,34.6
10,15,9,15,1012.6,30.3,27.2,24.6,21.6,72,63,-,0,7,15.64,4.5,50,20.3
10,16,9,16,1010.9,30.8,28,25.9,22.1,71,62,-,0,7.8,15.66,5,20,20.3
10,17,9,17,1009.1,28.8,26.6,24.1,22.9,81,89,16.7,0,2.2,7.73,N.A.,70,43.5
10,18,9,18,1008.1,25.5,24.8,23.9,24.2,96,91,178.7,0,-,2.07,N.A.,90,57.5
10,19,9,19,1008.7,25.9,25.1,24.4,24.6,96,94,223.4,0,0.1,2.27,N.A.,100,36
10,20,9,20,1004.6,29.5,27.3,24.7,23.8,82,82,-,7,7.4,14.48,1.9,10,15.8
10,21,9,21,997.1,28,26.1,24.4,23.6,86,96,72.5,0,-,0.8,N.A.,220,60.8
10,22,9,22,1007.8,29.4,27.5,26.1,24.4,84,77,1.9,0,5,12.47,0.5,220,18.2
10,23,9,23,1010,29.1,27.1,25.8,24.9,88,68,-,0,2.8,10.47,2.1,100,6
10,24,9,24,1011.3,29.1,27.3,26.1,25.2,88,74,Trace,0,4.1,12.9,1.9,120,13.8
10,25,9,25,1013.3,29.8,27.3,26.1,24.8,87,65,Trace,0,9.2,20,4.2,90,16.5
10,26,9,26,1015.6,30,27.1,25.7,24.2,84,47,-,0,8.5,17.55,3.2,70,17.1
10,27,9,27,1016,30.9,27.5,25.4,23.5,79,41,-,0,9.8,19.82,4.6,60,11.1
10,28,9,28,1014.9,31.5,28.2,26.3,23.3,75,54,-,0,10.3,20.33,3.3,20,8.6
10,29,9,29,1017.2,29,26.7,24.3,22.7,79,70,0.5,0,3.7,11.38,5.3,80,31.5
10,30,9,30,1019.8,26.6,24.4,22.9,19.4,74,85,-,0,3.6,12.46,4.1,20,32.3
10,31,10,1,1019.1,28.7,25.5,23.1,19.7,70,66,-,0,7.9,17.24,5.2,70,24
11,1,10,2,1019.7,25.3,23.9,22.5,18,69,76,-,0,5.2,10.62,4.7,20,31.2
11,2,10,3,1020.3,24.8,22.8,21,16.6,68,63,-,0,7.2,16.4,5.9,20,31
11,3,10,4,1019.3,24.8,21.8,20.1,15,66,54,-,0,7.5,16.4,5.9,10,28.2
11,4,10,5,1015.2,25.3,22.4,19.6,16.1,68,22,-,0,10.3,18.8,3,10,13.3
11,5,10,6,1013,26.9,23.8,21.7,19.6,77,56,-,0,7.5,17.66,2.9,100,13.4
11,6,10,7,1015.1,26.9,24.2,22.4,20.4,79,44,-,0,8,15.7,3.4,80,19.5
11,7,10,8,1016.6,28.4,25.3,23.4,21.8,81,52,-,0,10.1,17.95,3.3,70,21.6
11,8,10,9,1017.4,28.1,24.6,22.1,20.9,80,61,4.8,2,3.7,8.79,2.8,70,19.5
11,9,10,10,1019.5,22.1,20.7,19,17.3,81,88,1.3,0,-,2.78,2.3,20,33
11,10,10,11,1020.1,19,17.7,17,14.6,82,88,1.9,0,-,4.55,0.8,10,28.5
11,11,10,12,1018.8,22.3,20,17.1,16.5,80,92,Trace,6,0.1,7.37,0.2,20,20.6
11,12,10,13,1017.9,25.1,23.3,21.6,20.4,84,78,0.2,4,4.1,12.35,4,70,27.4
11,13,10,14,1016.9,26.9,24.7,23.8,21.9,85,65,-,0,3.5,10.69,1,70,19.3
11,14,10,15,1015.4,28.1,25.4,23.3,22.3,83,38,-,0,9,17.07,2.7,60,9.1
11,15,10,16,1015.8,29.2,25.7,23.8,22.2,81,38,Trace,8,9.7,17.09,4.4,80,13.8
11,16,10,17,1017.2,26.1,24.6,23.9,21,81,68,Trace,0,3.8,8.96,3,80,33.1
11,17,10,18,1016.6,27.5,24.8,23.6,20.7,78,59,Trace,2,9,16.94,4.1,70,26.7
11,18,10,19,1014.2,26.8,24.8,23.5,21.6,83,81,Trace,2,1.5,9.52,1.8,70,26.2
11,19,10,20,1013.1,28,25.8,24,21.6,78,80,1.4,0,5.4,14.82,5.2,60,24.4
11,20,10,21,1012.9,26.8,25.6,25,21.4,78,87,Trace,0,2,8,1.6,70,32.6
11,21,10,22,1012.9,25.3,24.7,24,21.9,85,87,0.3,0,0.4,4.37,0.6,80,36.7
11,22,10,23,1013.3,24.5,22.7,21.6,21.9,95,95,36.5,0,-,2.67,0.5,70,40.3
11,23,10,24,1016.2,21.6,20.5,16.7,19.3,93,92,25.9,0,-,2.25,1,50,42.1
11,24,10,25,1018.6,19.8,17.3,15,13,76,84,Trace,0,3.1,10.49,3.3,20,35.5
11,25,10,26,1016.4,22.3,20,17.4,16,78,88,0.1,0,2.9,10.26,2.1,50,35.1
11,26,10,27,1015.9,21.1,17.6,13.3,15.7,89,88,50.3,1,-,3.32,N.A.,360,36.5
11,27,10,28,1016.9,19.9,16.2,12.8,13.1,83,75,8.6,0,5.6,13.2,3.4,360,27.5
11,28,10,29,1020.9,20.1,18.1,16.1,12.1,68,44,-,0,8.9,16.98,3.7,10,31.9
11,29,11,1,1022.3,20.5,19.2,17.5,12.6,66,82,-,0,1.3,5.27,2.8,20,27
11,30,11,2,1022.3,22,19.7,17.4,12.7,64,31,-,0,8.5,16.17,4.3,20,25.8
12,1,11,3,1022.1,22.4,19.8,17.2,13.4,67,19,-,2,9.3,16.08,3.1,10,24.3
12,2,11,4,1022.6,22.4,20.5,18.4,15.7,74,77,-,6,6.8,13.24,0.8,70,26.3
12,3,11,5,1020.9,22.8,21.3,19.9,17,77,87,-,7,0.7,8.32,0.3,70,26
12,4,11,6,1018.2,24.9,22.3,21,18.4,79,77,Trace,13,2.4,9.92,3.2,70,9.8
12,5,11,7,1017.7,25.9,23.3,21.8,19.4,79,84,-,21,5,11.96,4.2,60,12
12,6,11,8,1020.7,22.9,20.8,19.4,11.1,54,84,Trace,0,4.9,12,4.1,10,30.2
12,7,11,9,1019.1,22.2,19.9,18.2,12.1,61,73,Trace,5,5.2,11.65,3.8,20,17.3
12,8,11,10,1016.5,21.7,19.2,17.1,11.4,61,27,-,7,9.3,15.97,2.7,20,16.7
12,9,11,11,1015.4,21.9,19.4,16.5,12.6,65,16,-,0,9.5,16.59,3.6,80,23.7
12,10,11,12,1016.4,23.1,20.8,18.3,15.6,72,51,-,5,8.8,15.9,1,70,28
12,11,11,13,1016.6,21.5,20.4,19.5,16,76,51,Trace,0,8.3,15.59,3.5,80,42.8
12,12,11,14,1015.1,23.3,21.1,19,16.9,77,59,Trace,0,7.2,15.18,2.6,70,25.2
12,13,11,15,1014.5,25.7,22.9,20.7,18,75,48,Trace,5,8.8,15.13,3.1,60,12.7
12,14,11,16,1018.2,23.4,21.4,18.8,14.2,63,80,Trace,0,3.8,11.48,5.2,20,27.9
12,15,11,17,1022.6,20.4,18,15.6,10.6,62,67,-,0,5.6,12.56,3.6,10,31.5
12,16,11,18,1025.5,17.1,15.2,13.2,7.7,61,17,-,0,9.3,15.69,2.8,10,31.1
12,17,11,19,1023.2,18.6,16.6,13.7,10.7,68,56,-,0,2.1,8.23,1.4,60,31.5
12,18,11,20,1021.6,21.3,19.2,17.2,14.8,76,46,-,0,7.3,13.56,1.3,60,29.6
12,19,11,21,1018.5,22.5,20.3,18.5,15.3,73,29,-,0,9.3,16.41,2.3,60,22.8
12,20,11,22,1017.3,22.9,21.3,20,17.6,80,80,-,0,2.7,10.93,1.5,60,26.8
12,21,11,23,1016.8,22.6,21.9,21,20.1,90,85,2.8,2,0.2,3.7,0.4,40,23.5
12,22,11,24,1016.8,24.8,22.4,19.7,17.4,75,59,0.1,2,7.1,14.64,4.8,10,25.9
12,23,11,25,1019,21.9,20.2,19.1,15.1,73,78,Trace,4,4.1,11.36,2.4,30,25.7
12,24,11,26,1019.2,19.5,18.1,16.9,13.8,76,88,3.7,0,-,3.98,1.8,70,41.8
12,25,11,27,1018.4,20.3,19.5,18.4,16.3,82,85,Trace,0,1.3,5.93,0.5,70,36.6
12,26,11,28,1017,23.7,21.4,19.5,17.6,80,53,-,10,7.1,14.09,3.8,100,15.6
12,27,11,29,1020.4,21.8,16.6,12.8,8.8,61,45,-,0,9.4,16.89,4.4,10,48.4
12,28,11,30,1023,15.7,14,11.5,6.3,60,81,-,0,0.4,8.34,3.8,20,31
12,29,12,1,1024.1,17.9,15.9,13.9,6.5,54,80,-,0,3.7,11.93,3.3,10,27.8
12,30,12,2,1024.2,18.6,16.6,14.8,8.7,60,83,-,0,0.2,6.98,1.3,40,24.5
12,31,12,3,1022.8,20.7,18.2,15.6,13.4,74,64,-,0,8.4,15.48,2.1,60,30.6
